lolo_n: .word 16, 16
.byte 199,199,199,199,0,0,209,209,209,0,0,199,199,199,199,199,
199,199,0,209,255,255,255,209,255,209,209,209,0,199,199,199,
199,0,209,255,255,209,209,209,209,209,209,209,209,0,199,199,
199,0,209,209,209,209,209,209,209,209,209,209,209,0,199,199,
0,209,209,255,255,255,209,209,209,255,255,255,209,209,0,199,
0,209,255,255,255,255,255,209,255,255,255,255,255,209,0,199,
0,209,255,255,255,0,0,209,0,0,255,255,255,209,0,199,
0,0,255,255,255,0,0,209,0,0,255,255,255,0,0,199,
0,0,255,255,255,0,0,209,0,0,255,255,255,0,0,199,
255,0,255,255,255,255,255,209,255,255,255,255,255,0,255,0,
255,0,0,255,255,255,209,209,209,255,255,255,209,0,255,0,
0,255,0,209,209,209,209,209,209,209,209,209,0,255,0,199,
0,255,255,0,0,209,209,209,209,209,0,0,255,255,0,199,
199,0,0,0,0,0,0,0,0,0,0,0,0,0,199,199,
199,199,0,255,255,255,0,199,0,255,255,255,0,199,199,199,
199,199,0,0,0,0,0,199,0,0,0,0,0,199,199,199,


